danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name
0.717,0.656,7,-4.449,1,0.0797,0.141,2.96e-05,0.0661,0.695,175.956,audio_features,2btNsI4OvcVl7SAHQQDHFB,spotify:track:2btNsI4OvcVl7SAHQQDHFB,https://api.spotify.com/v1/tracks/2btNsI4OvcVl7SAHQQDHFB,https://api.spotify.com/v1/audio-analysis/2btNsI4OvcVl7SAHQQDHFB,157453,4,Mirame
0.924,0.668,11,-6.795,1,0.0469,0.446,0.000594,0.0678,0.787,128.027,audio_features,6WatFBLVB0x077xWeoVc2k,spotify:track:6WatFBLVB0x077xWeoVc2k,https://api.spotify.com/v1/tracks/6WatFBLVB0x077xWeoVc2k,https://api.spotify.com/v1/audio-analysis/6WatFBLVB0x077xWeoVc2k,195824,4,Si Antes Te Hubiera Conocido
0.774,0.86,7,-2.888,0,0.13,0.131,0.0,0.116,0.446,100.019,audio_features,7bywjHOc0wSjGGbj04XbVi,spotify:track:7bywjHOc0wSjGGbj04XbVi,https://api.spotify.com/v1/tracks/7bywjHOc0wSjGGbj04XbVi,https://api.spotify.com/v1/audio-analysis/7bywjHOc0wSjGGbj04XbVi,196800,4,LUNA
0.705,0.783,9,-4.783,0,0.0403,0.138,0.0,0.0984,0.454,103.001,audio_features,5QjmUqgpPQgXgg4606DqZF,spotify:track:5QjmUqgpPQgXgg4606DqZF,https://api.spotify.com/v1/tracks/5QjmUqgpPQgXgg4606DqZF,https://api.spotify.com/v1/audio-analysis/5QjmUqgpPQgXgg4606DqZF,172427,4,UWAIE
0.734,0.578,1,-4.147,1,0.295,0.155,0.000242,0.113,0.88,199.997,audio_features,13BDiikG6y5o5cQTK0HpW6,spotify:track:13BDiikG6y5o5cQTK0HpW6,https://api.spotify.com/v1/tracks/13BDiikG6y5o5cQTK0HpW6,https://api.spotify.com/v1/audio-analysis/13BDiikG6y5o5cQTK0HpW6,142022,4,Soltera - W Sound 01
0.641,0.657,11,-8.338,0,0.218,0.538,0.0,0.106,0.411,100.016,audio_features,08pbRBstuvH7ArRxeb8fwT,spotify:track:08pbRBstuvH7ArRxeb8fwT,https://api.spotify.com/v1/tracks/08pbRBstuvH7ArRxeb8fwT,https://api.spotify.com/v1/audio-analysis/08pbRBstuvH7ArRxeb8fwT,188887,4,Hasta Aquí Llegué
0.786,0.707,7,-4.386,0,0.0635,0.0399,0.0,0.121,0.691,82.045,audio_features,2gmd7lY3QSzLh0xIY4cRvi,spotify:track:2gmd7lY3QSzLh0xIY4cRvi,https://api.spotify.com/v1/tracks/2gmd7lY3QSzLh0xIY4cRvi,https://api.spotify.com/v1/audio-analysis/2gmd7lY3QSzLh0xIY4cRvi,225373,4,SE ME OLVIDA
0.73,0.587,8,-4.978,1,0.083,0.0223,0.0,0.14,0.109,119.656,audio_features,281YJmnThveWjsWVic9Ym6,spotify:track:281YJmnThveWjsWVic9Ym6,https://api.spotify.com/v1/tracks/281YJmnThveWjsWVic9Ym6,https://api.spotify.com/v1/audio-analysis/281YJmnThveWjsWVic9Ym6,244000,4,Las Piponas (Remix)
0.56,0.681,6,-6.304,0,0.244,0.103,0.0,0.106,0.388,155.079,audio_features,0Sr7ssScx54yxdM2ols7nW,spotify:track:0Sr7ssScx54yxdM2ols7nW,https://api.spotify.com/v1/tracks/0Sr7ssScx54yxdM2ols7nW,https://api.spotify.com/v1/audio-analysis/0Sr7ssScx54yxdM2ols7nW,223320,4,Q U E V A S H A C E R H O Y ?
0.819,0.675,7,-4.281,1,0.0727,0.0318,0.0,0.289,0.602,92.99,audio_features,63pLfjK6FvcYJYMGwtHjd6,spotify:track:63pLfjK6FvcYJYMGwtHjd6,https://api.spotify.com/v1/tracks/63pLfjK6FvcYJYMGwtHjd6,https://api.spotify.com/v1/audio-analysis/63pLfjK6FvcYJYMGwtHjd6,207747,4,SORRY 4 THAT MUCH
0.775,0.581,1,-3.621,0,0.108,0.617,8.33e-06,0.0957,0.658,104.977,audio_features,1fTjqf10accJCDYstPwwZ6,spotify:track:1fTjqf10accJCDYstPwwZ6,https://api.spotify.com/v1/tracks/1fTjqf10accJCDYstPwwZ6,https://api.spotify.com/v1/audio-analysis/1fTjqf10accJCDYstPwwZ6,156577,4,Ohnana
0.841,0.752,2,-4.735,1,0.105,0.167,0.00046,0.949,0.67,100.076,audio_features,3OJDtCdYs8QJnui708tEU3,spotify:track:3OJDtCdYs8QJnui708tEU3,https://api.spotify.com/v1/tracks/3OJDtCdYs8QJnui708tEU3,https://api.spotify.com/v1/audio-analysis/3OJDtCdYs8QJnui708tEU3,214643,4,Soltera
0.806,0.746,6,-5.36,0,0.0496,0.358,0.0,0.398,0.78,102.443,audio_features,4DAMvNqHt0s8zJr6JwOoye,spotify:track:4DAMvNqHt0s8zJr6JwOoye,https://api.spotify.com/v1/tracks/4DAMvNqHt0s8zJr6JwOoye,https://api.spotify.com/v1/audio-analysis/4DAMvNqHt0s8zJr6JwOoye,148976,5,MLP
0.909,0.762,9,-3.974,1,0.0643,0.434,0.0,0.0856,0.843,101.987,audio_features,4bw8mcDUSRWfQo63ZTYRnU,spotify:track:4bw8mcDUSRWfQo63ZTYRnU,https://api.spotify.com/v1/tracks/4bw8mcDUSRWfQo63ZTYRnU,https://api.spotify.com/v1/audio-analysis/4bw8mcDUSRWfQo63ZTYRnU,142335,3,Según Quién
0.815,0.715,10,-3.981,0,0.129,0.0718,0.0,0.197,0.432,179.988,audio_features,3JQxqYDoKdIYuFxe9Yz3Of,spotify:track:3JQxqYDoKdIYuFxe9Yz3Of,https://api.spotify.com/v1/tracks/3JQxqYDoKdIYuFxe9Yz3Of,https://api.spotify.com/v1/audio-analysis/3JQxqYDoKdIYuFxe9Yz3Of,160792,4,BABY FACHA
0.857,0.705,1,-4.775,1,0.183,0.322,0.00249,0.197,0.874,105.011,audio_features,5pVJ3IlnpIorU44oXizzG5,spotify:track:5pVJ3IlnpIorU44oXizzG5,https://api.spotify.com/v1/tracks/5pVJ3IlnpIorU44oXizzG5,https://api.spotify.com/v1/audio-analysis/5pVJ3IlnpIorU44oXizzG5,240964,4,Orion
0.725,0.709,3,-5.017,0,0.129,0.321,0.000189,0.114,0.648,99.993,audio_features,6a9Z1jUms915w4O7N1PxjY,spotify:track:6a9Z1jUms915w4O7N1PxjY,https://api.spotify.com/v1/tracks/6a9Z1jUms915w4O7N1PxjY,https://api.spotify.com/v1/audio-analysis/6a9Z1jUms915w4O7N1PxjY,193039,4,Santa
0.751,0.739,9,-3.649,0,0.0789,0.133,0.0,0.141,0.795,94.065,audio_features,57pj5sOWSCAqZm088LMcE4,spotify:track:57pj5sOWSCAqZm088LMcE4,https://api.spotify.com/v1/tracks/57pj5sOWSCAqZm088LMcE4,https://api.spotify.com/v1/audio-analysis/57pj5sOWSCAqZm088LMcE4,186464,4,Oe Bebé
0.787,0.775,1,-4.607,0,0.0699,0.0373,0.0,0.116,0.826,99.008,audio_features,2llFXBrftm6YJzBj3tpk0s,spotify:track:2llFXBrftm6YJzBj3tpk0s,https://api.spotify.com/v1/tracks/2llFXBrftm6YJzBj3tpk0s,https://api.spotify.com/v1/audio-analysis/2llFXBrftm6YJzBj3tpk0s,176720,4,Doblexxó
0.912,0.7,6,-3.331,0,0.068,0.163,0.0,0.174,0.535,106.981,audio_features,505v13epFXodT9fVAJ6h8k,spotify:track:505v13epFXodT9fVAJ6h8k,https://api.spotify.com/v1/tracks/505v13epFXodT9fVAJ6h8k,https://api.spotify.com/v1/audio-analysis/505v13epFXodT9fVAJ6h8k,170480,4,AMARGURA
0.75,0.682,10,-3.825,1,0.0945,0.168,1.28e-06,0.112,0.618,100.036,audio_features,60u6hcpH5Qm1M3xESdNBrB,spotify:track:60u6hcpH5Qm1M3xESdNBrB,https://api.spotify.com/v1/tracks/60u6hcpH5Qm1M3xESdNBrB,https://api.spotify.com/v1/audio-analysis/60u6hcpH5Qm1M3xESdNBrB,165178,4,Frente al Mar
0.726,0.831,8,-2.035,0,0.12,0.0139,3.71e-06,0.0891,0.489,95.997,audio_features,7chTH3GBjjAyagf0SPCZDL,spotify:track:7chTH3GBjjAyagf0SPCZDL,https://api.spotify.com/v1/tracks/7chTH3GBjjAyagf0SPCZDL,https://api.spotify.com/v1/audio-analysis/7chTH3GBjjAyagf0SPCZDL,152500,4,SI SABE FERXXO
0.911,0.778,5,-2.248,1,0.262,0.0887,2.16e-05,0.179,0.345,96.057,audio_features,7iQXYTyuG13aoeHxGG28Nh,spotify:track:7iQXYTyuG13aoeHxGG28Nh,https://api.spotify.com/v1/tracks/7iQXYTyuG13aoeHxGG28Nh,https://api.spotify.com/v1/audio-analysis/7iQXYTyuG13aoeHxGG28Nh,162768,4,PERRO NEGRO
0.805,0.89,11,-1.502,0,0.0634,0.0704,0.0,0.121,0.489,93.037,audio_features,0rNqDh9zWWJVTLS4VfceHP,spotify:track:0rNqDh9zWWJVTLS4VfceHP,https://api.spotify.com/v1/tracks/0rNqDh9zWWJVTLS4VfceHP,https://api.spotify.com/v1/audio-analysis/0rNqDh9zWWJVTLS4VfceHP,180360,4,Brickell
0.677,0.695,4,-8.404,1,0.381,0.136,0.0,0.669,0.176,103.848,audio_features,5PDXWKryvv1SRcmSozUdTZ,spotify:track:5PDXWKryvv1SRcmSozUdTZ,https://api.spotify.com/v1/tracks/5PDXWKryvv1SRcmSozUdTZ,https://api.spotify.com/v1/audio-analysis/5PDXWKryvv1SRcmSozUdTZ,144466,4,TBC (KARMA)
0.704,0.884,8,-6.275,1,0.0527,0.549,0.000364,0.0492,0.964,93.058,audio_features,2naqSVQHgiaoEpxtkVOhmK,spotify:track:2naqSVQHgiaoEpxtkVOhmK,https://api.spotify.com/v1/tracks/2naqSVQHgiaoEpxtkVOhmK,https://api.spotify.com/v1/audio-analysis/2naqSVQHgiaoEpxtkVOhmK,228554,4,Llorarás
0.841,0.738,7,-7.455,0,0.307,0.52,0.0,0.0892,0.484,169.918,audio_features,5RqSsdzTNPX1uzkmlHCFvK,spotify:track:5RqSsdzTNPX1uzkmlHCFvK,https://api.spotify.com/v1/tracks/5RqSsdzTNPX1uzkmlHCFvK,https://api.spotify.com/v1/audio-analysis/5RqSsdzTNPX1uzkmlHCFvK,172798,4,QLONA
0.827,0.871,0,-6.072,1,0.123,0.0297,1.46e-06,0.336,0.562,125.013,audio_features,0BoLTC9I3PYefcWd7FOhUh,spotify:track:0BoLTC9I3PYefcWd7FOhUh,https://api.spotify.com/v1/tracks/0BoLTC9I3PYefcWd7FOhUh,https://api.spotify.com/v1/audio-analysis/0BoLTC9I3PYefcWd7FOhUh,178609,4,Chismofilia
0.744,0.727,4,-5.238,0,0.0649,0.211,4.83e-05,0.351,0.847,155.945,audio_features,7ExDiKtnpUtoikn2yfQd54,spotify:track:7ExDiKtnpUtoikn2yfQd54,https://api.spotify.com/v1/tracks/7ExDiKtnpUtoikn2yfQd54,https://api.spotify.com/v1/audio-analysis/7ExDiKtnpUtoikn2yfQd54,155385,4,NECESIDAD
0.803,0.577,7,-5.634,0,0.216,0.423,0.0,0.246,0.452,110.033,audio_features,0i4uSrPDjfMZJf0gaa0i6D,spotify:track:0i4uSrPDjfMZJf0gaa0i6D,https://api.spotify.com/v1/tracks/0i4uSrPDjfMZJf0gaa0i6D,https://api.spotify.com/v1/audio-analysis/0i4uSrPDjfMZJf0gaa0i6D,316364,4,LA CURA
0.801,0.741,9,-5.572,1,0.0953,0.162,0.0,0.0584,0.652,93.98,audio_features,2NFWEVIzLcWARyI8BzgA23,spotify:track:2NFWEVIzLcWARyI8BzgA23,https://api.spotify.com/v1/tracks/2NFWEVIzLcWARyI8BzgA23,https://api.spotify.com/v1/audio-analysis/2NFWEVIzLcWARyI8BzgA23,169888,4,Contentoso
0.897,0.755,9,-5.684,0,0.144,0.00758,0.000451,0.264,0.567,110.008,audio_features,1pLCpA1RN8avJxSD3ZCwhj,spotify:track:1pLCpA1RN8avJxSD3ZCwhj,https://api.spotify.com/v1/tracks/1pLCpA1RN8avJxSD3ZCwhj,https://api.spotify.com/v1/audio-analysis/1pLCpA1RN8avJxSD3ZCwhj,214120,4,Pa' Que La Pases Bien
